"...1","fdc_id","data_type","description","publication_date","id","nutrient_id","amount","data_points","derivation_id","name","unit_name","nutrient_nbr","rank"
521347,173778,"sr_legacy_food","SILK Raspberry soy yogurt",2019-04-01,1805029,1003,2.35,1,44,"Protein","G",203,600
521411,173781,"sr_legacy_food","SILK Blueberry soy yogurt",2019-04-01,1805076,2000,12.35,1,44,"Sugars, total including NLEA","G",269,1510
521364,173779,"sr_legacy_food","SILK Peach soy yogurt",2019-04-01,1805044,1003,2.35,1,44,"Protein","G",203,600
521381,173780,"sr_legacy_food","SILK Black Cherry soy yogurt",2019-04-01,1805055,1003,2.35,1,44,"Protein","G",203,600
506557,173586,"sr_legacy_food","Margarine-like spread with yogurt, approximately 40% fat, tub, with salt",2019-04-01,1790194,1279,0,0,20,"MUFA 22:1","G",630,12500
499997,173496,"sr_legacy_food","Babyfood, dinner, chicken soup, strained",2019-04-01,1783728,1005,7.2,0,49,"Carbohydrate, by difference","G",205,1110
501261,173512,"sr_legacy_food","Babyfood, fruit, applesauce, strained",2019-04-01,1784957,2000,9.87,0,16,"Sugars, total including NLEA","G",269,1510
436840,172746,"sr_legacy_food","Crackers, saltines (includes oyster, soda, soup)",2019-04-01,1720621,1003,9.46,12,1,"Protein","G",203,600
680085,329969,"sub_sample_food","Fatty Acids, Greek yogurt, CHOBANI PLAIN NON-FAT (MI1,OK1) - NFY09111X",2019-04-01,2253287,1300,0.003,1,1,"SFA 17:0","G",653,10800
680070,329966,"sub_sample_food","Sugars, Greek yogurt, CHOBANI PLAIN NON-FAT (MI1,OK1) - NFY09111U",2019-04-01,2253267,1013,2.5,1,1,"Lactose","G",213,1900
680013,329948,"sub_sample_food","Fatty Acids, Greek yogurt, FAGE PLAIN NONFAT (CO1,CT1) - NFY09113F",2019-04-01,2253217,1321,0,1,1,"PUFA 18:3 n-6 c,c,c","G",685,14100
680044,329949,"sub_sample_food","Proximates, Greek yogurt, FAGE PLAIN NONFAT (CO1,CT1) - NFY09113G",2019-04-01,2253239,1002,1.62,1,1,"Nitrogen","G",202,500
680165,329989,"sub_sample_food","Fatty Acids, Greek yogurt, FAGE PLAIN NONFAT (AL1,CA1) - NFY09112P",2019-04-01,2253359,1299,0.003,1,1,"SFA 15:0","G",652,10600
680118,329970,"sub_sample_food","Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (MI1,OK1) - NFY09111Y",2019-04-01,2253317,1007,0.77,1,1,"Ash","G",207,1000
680195,329990,"sub_sample_food","Proximates, Greek yogurt, FAGE PLAIN NONFAT (AL1,CA1) - NFY09112Q",2019-04-01,2253394,1007,0.72,1,1,"Ash","G",207,1000
679883,329901,"sub_sample_food","Fatty Acids, Greek yogurt, CHOBANI PLAIN NON-FAT (AL1,CA1) - NFY09110E",2019-04-01,2253092,1301,0,1,1,"SFA 24:0","G",654,11300
679812,329882,"sub_sample_food","Proximates, Greek yogurt, FAGE PLAIN NONFAT (FL1) - NFY09113Q",2019-04-01,2253007,1002,1.91,1,1,"Nitrogen","G",202,500
679840,329900,"sub_sample_food","Amino Acids, Greek yogurt, CHOBANI PLAIN NON-FAT (AL1,CA1) - NFY09110D",2019-04-01,2253056,1210,0.13,1,1,"Tryptophan","G",501,16300
679900,329902,"sub_sample_food","Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (AL1,CA1) - NFY09110F",2019-04-01,2253099,1007,0.69,1,1,"Ash","G",207,1000
679958,329930,"sub_sample_food","Fatty Acids, Greek yogurt, CHOBANI PLAIN NON-FAT (CO1,CT1) - NFY091115",2019-04-01,2253144,1304,0.006,1,1,"TFA 18:1 t","G",663,15521
679972,329931,"sub_sample_food","Proximates, Greek yogurt, CHOBANI PLAIN NON-FAT (CO1,CT1) - NFY091116",2019-04-01,2253171,1007,0.74,1,1,"Ash","G",207,1000
680477,330105,"sub_sample_food","Fatty Acids, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (FL1,MO1) - NFY09116I",2019-04-01,2253671,1317,0,1,1,"MUFA 22:1 c","G",676,12600
680405,330076,"sub_sample_food","Fatty Acids, Greek yogurt, FAGE PLAIN NONFAT (CA2,NC1) - NFY091148",2019-04-01,2253590,1414,0,1,1,"PUFA 20:3 n-9","G",861,14650
680483,330106,"sub_sample_food","Proximates, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (FL1,MO1) - NFY09116J",2019-04-01,2253683,1007,0.78,1,1,"Ash","G",207,1000
680511,330133,"sub_sample_food","Amino Acids, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (CO1,CT1) - NFY09115P",2019-04-01,2253727,1210,0.14,1,1,"Tryptophan","G",501,16300
680407,330077,"sub_sample_food","Proximates, Greek yogurt, FAGE PLAIN NONFAT (CA2,NC1) - NFY091149",2019-04-01,2253606,1004,0.33,1,1,"Total lipid (fat)","G",204,800
680434,330102,"sub_sample_food","Sugars, Greek yogurt, DANNON OIKOS PLAIN NON-FAT (FL1,MO1) - NFY09116F",2019-04-01,2253634,1012,0,1,1,"Fructose","G",212,1800
